Art.-Nr.,Name des Produkts,Gebinde,Kategorie,Top-Angebot,Unterkategorie,Preis Einzeln (CHF),Preis Pack (CHF),Eigenmarke,Status,Packungsgrösse,Einheit
78099,Schnitzwasser Farmer 6 × 150 cl,Einzeln & Pack,Süssgetränke,FALSE,,1.15,6.90,TRUE,Aktiv,6,flasche
85041,Schnitzwasser Farmer 6 × 50 cl,Einzeln & Pack,Süssgetränke,FALSE,,0.95,5.55,TRUE,Aktiv,6,flasche
41743,Traubensaft Farmer rot 4 × 100 cl,Einzeln & Pack,Süssgetränke,FALSE,,1.60,6.25,TRUE,Aktiv,4,flasche
87319,Vitaminwater Farmer Zitrone 6×50cl,Einzeln & Pack,Süssgetränke,FALSE,,0.75,4.50,TRUE,Aktiv,6,flasche
52617,Citro Elmer 8 × 150 cl,Einzeln & Pack,Süssgetränke,FALSE,,2.00,15.80,FALSE,Aktiv,8,flasche
02721,Citro Elmer 6 × 50 cl,Einzeln & Pack,Süssgetränke,FALSE,,1.35,8.10,FALSE,Aktiv,6,flasche
100062,Grapefruit Farmer zéro 6×50cl,Einzeln & Pack,Süssgetränke,FALSE,,0.55,3.20,TRUE,Aktiv,6,flasche
103082,Multi-ACE Farmer 6 × 100 cl,Einzeln & Pack,Süssgetränke,FALSE,,1.45,8.50,TRUE,Aktiv,6,flasche
68903,Oran Soda 24 × 33 cl,Pack,Süssgetränke,FALSE,,,15.95,FALSE,Aktiv,24,flasche
100060,Orange Farmer zéro 6 × 150 cl,Einzeln & Pack,Süssgetränke,FALSE,,0.60,3.55,TRUE,Aktiv,6,flasche
100064,Orange Farmer zéro 6 × 50 cl,Einzeln & Pack,Süssgetränke,FALSE,,0.55,3.20,TRUE,Aktiv,6,flasche
88632,Focus Water Active 12 × 50 cl,Pack,Süssgetränke,TRUE,Cola & Softdrinks,,14.95,FALSE,Aktiv,12,flasche
35398,Coca-Cola Dose 24 × 33 cl,Einzeln & Pack,Süssgetränke,FALSE,Cola & Softdrinks,0.65,14.95,FALSE,Aktiv,24,dose
35400,Coca-Cola Zero Dose 24 × 33 cl,Einzeln & Pack,Süssgetränke,FALSE,Cola & Softdrinks,0.65,14.95,FALSE,Aktiv,24,dose
87800,Energy Drink Red Bull Dose 6 × 25 cl,Einzeln & Pack,Süssgetränke,FALSE,Energy & Mate,1.50,8.90,FALSE,Aktiv,6,dose
38994,Energy Drink Red Bull Sugarfree 6 × 25 cl,Einzeln & Pack,Süssgetränke,FALSE,Energy & Mate,1.50,8.90,FALSE,Aktiv,6,flasche
98124,Farmer Energy Drink Dose 24 × 25 cl,Pack,Süssgetränke,FALSE,Energy & Mate,,11.80,TRUE,Aktiv,24,dose
98125,Farmer Energy Drink Dose 25 cl,Einzeln,Süssgetränke,FALSE,Energy & Mate,0.50,,TRUE,Aktiv,,dose
101743,Energy Drink Farmer Dose 24 × 25 cl,Einzeln & Pack,Süssgetränke,FALSE,Energy & Mate,0.40,9.40,TRUE,Aktiv,24,dose
101794,Energy Drink Farmer s.f. 24 × 25 cl,Einzeln & Pack,Süssgetränke,FALSE,Energy & Mate,0.40,9.40,TRUE,Aktiv,24,flasche
103976,Farmer Mate 6 × 33 cl,Einzeln & Pack,Süssgetränke,FALSE,Energy & Mate,1.00,5.95,TRUE,Aktiv,6,flasche
114544,Farmer Mate zéro Dose 6 × 33 cl,Einzeln & Pack,Süssgetränke,FALSE,Energy & Mate,1.00,5.95,TRUE,Aktiv,6,dose
16149,Energy Drink Red Bull Dose 24 × 25 cl,Einzeln & Pack,Süssgetränke,FALSE,Energy & Mate,1.25,29.95,FALSE,Aktiv,24,dose
45949,Amberbier Farmer Dose 18x50cl,Pack,Biere,FALSE,,,13.50,TRUE,Aktiv,18,dose
46423,Amberbier Farmer Dose 50cl,Einzeln,Biere,FALSE,,0.75,,TRUE,Deaktiviert,,dose
52950,Bier Amber Oberland Prem. 6x33cl,Pack,Biere,FALSE,,,9.20,FALSE,Deaktiviert,6,flasche
63459,Bier Boxer old 18x25cl,Pack,Biere,FALSE,,,16.50,FALSE,Aktiv,18,flasche
75827,Bier Boxer old 24x33cl,Pack,Biere,FALSE,,,19.95,FALSE,Aktiv,24,flasche
32224,Bier Boxer old Dose 6x50cl,Pack,Biere,FALSE,,,9.95,FALSE,Aktiv,6,dose
10639,Bier Boxer old MW 33cl,Einzeln,Biere,FALSE,,1.65,,FALSE,Aktiv,,flasche
87373,Bier Boxer old MW 50cl,Einzeln,Biere,FALSE,,1.80,,FALSE,Aktiv,,flasche
32729,Bier Calanda Dose 24x50cl,Pack,Biere,FALSE,,,30.95,FALSE,Aktiv,24,dose
51891,Bier Calanda Glatsch 6x50cl,Pack,Biere,FALSE,,,11.20,FALSE,Aktiv,6,flasche
18249,Bier Calanda Radler 10x33cl,Pack,Biere,FALSE,,,12.50,FALSE,Aktiv,10,flasche
87344,Bier Cardinal Blonde MW 33cl,Einzeln,Biere,FALSE,,1.40,,FALSE,Deaktiviert,,flasche
87341,Bier Cardinal Blonde MW 50cl,Einzeln,Biere,FALSE,,1.75,,FALSE,Deaktiviert,,flasche
96173,Bier Chopfab Draft 10x33cl,Pack,Biere,FALSE,,,11.95,FALSE,Aktiv,10,flasche
68192,Bier Desperados Tequilla 6x50cl,Pack,Biere,FALSE,,,13.20,FALSE,Aktiv,6,flasche
63449,Bier Draft Oberland 6x33cl,Pack,Biere,FALSE,,,9.20,FALSE,Deaktiviert,6,flasche
87447,Bier Farmer dunkel 6x33cl,Pack,Biere,FALSE,,,6.55,TRUE,Aktiv,6,flasche
87309,Bier Farmer Erdb.-Rhab. 10x33cl,Pack,Biere,FALSE,,,9.55,TRUE,Aktiv,10,flasche
87453,Bier Farmer Litchi 10x33cl,Pack,Biere,FALSE,,,9.55,TRUE,Aktiv,10,flasche
38092,Bier Farmer Naturtrueb 50cl,Einzeln,Biere,FALSE,,0.75,,TRUE,Aktiv,,flasche
38093,Bier Farmer Naturtrueb Dose 18x50cl,Pack,Biere,FALSE,,,13.50,TRUE,Aktiv,18,dose
111264,Bier Feld. Braufrisch Dose 12x50cl,Pack,Biere,FALSE,,,19.95,FALSE,Aktiv,12,dose
12805,Bier Feld. Buegel MW 50cl,Einzeln,Biere,FALSE,,2.10,,FALSE,Aktiv,,flasche
104236,Bier Feld. Pils Dose 6x50cl,Pack,Biere,FALSE,,,11.50,FALSE,Aktiv,6,dose
77382,Bier Ginger Appenzeller 6x33cl,Pack,Biere,FALSE,,,15.25,FALSE,Aktiv,6,flasche
91683,Bier Moretti Dose 12x50cl,Pack,Biere,FALSE,,,19.95,FALSE,Aktiv,12,dose
109340,Bier Moretti Dose 24x33cl,Pack,Biere,TRUE,,,20.95,FALSE,Aktiv,24,dose
68896,Bier Moretti Dose 24x50cl,Pack,Biere,TRUE,,,29.50,FALSE,Aktiv,24,dose
107843,Bier Moretti EW 15x33cl,Pack,Biere,FALSE,,,18.95,FALSE,Aktiv,15,flasche
109341,Bier Moretti Limone 3x33cl,Pack,Biere,FALSE,,,4.95,FALSE,Aktiv,3,flasche
113708,Bier Moretti Sale d. M. 24x33cl,Pack,Biere,TRUE,,,26.95,FALSE,Aktiv,24,flasche
107846,Bier Moretti Sale d. M. 6x33cl,Pack,Biere,FALSE,,,8.95,FALSE,Aktiv,6,flasche
